wsize;algorithm;update;query;radius;ratio;memory
500;CHEN;3738.865;42555717.76;1.765671896;1;500
1000;CHEN;5391.205;172726369.3;1.722146043;1;1000
5000;CHEN;5419.4;5083105640;1.721094224;1;5000
10000;CHEN;11075.12;20500798836;1.729321956;1;10000
20000;CHEN;7460.27;1.44E+11;1.747379165;1;20000
30000;CHEN;11393.48;3.16E+11;1.755176895;1;30000
500;PELLCAPP;139719.275;42560940.23;1.765671896;1;3809.85
1000;PELLCAPP;417344.64;177862783.1;1.722146043;1;6862.66
5000;PELLCAPP;1146197.21;4750344511;1.722030519;1.000566045;28706.4
10000;PELLCAPP;4799705.275;19835049001;1.729554154;1.000144402;53564.47
20000;PELLCAPP;13123781.15;1.33E+11;1.748985262;1.000976149;99965.99
30000;PELLCAPP;16413056.2;2.91E+11;1.755140448;1.000027262;142918.06
500;PELLCAPPDELTA05;59222.78;41892888.65;1.687311164;0.959572011;1579.225
1000;PELLCAPPDELTA05;164551.31;159891715.7;1.631726512;0.951831201;2436.99
5000;PELLCAPPDELTA05;209269.785;3563297051;1.691901777;0.985788641;7173.475
10000;PELLCAPPDELTA05;645508.15;11331147444;1.70184716;0.986414708;11259.02
20000;PELLCAPPDELTA05;842340.545;31790719516;1.746450698;1.001636772;16816.11
30000;PELLCAPPDELTA05;985409.115;48336255709;1.769696705;1.009583462;20453.715
40000;PELLCAPPDELTA05;711726.655;60556010499;1.75434344;1;23173.455
50000;PELLCAPPDELTA05;868298.3;83867864720;1.727169687;1;25332.62
60000;PELLCAPPDELTA05;960731.815;1.01E+11;1.749600755;1;27159.37
70000;PELLCAPPDELTA05;1008268.83;1.42E+11;1.778578401;1;28645.98
80000;PELLCAPPDELTA05;981732.51;1.91E+11;1.745146051;1;30027.28
90000;PELLCAPPDELTA05;1100931.375;1.63E+11;1.761030102;1;31234.105
100000;PELLCAPPDELTA05;1113447.105;2.27E+11;1.781444616;1;32358.905
500;PELLCAPPDELTA10;40878.765;35118032.41;1.608713085;0.914676357;1139.395
1000;PELLCAPPDELTA10;50842.385;106253843.9;1.645109486;0.959731039;1611.975
5000;PELLCAPPDELTA10;85797.375;749437763.3;1.724245862;1.005147769;3133.65
10000;PELLCAPPDELTA10;171917.3;1364146304;1.812808917;1.050607232;3937.67
20000;PELLCAPPDELTA10;198966.84;2369967927;1.7824655;1.021629564;4904.81
30000;PELLCAPPDELTA10;259596.335;2983819506;1.784987914;1.018380242;5412.66
40000;PELLCAPPDELTA10;229545.04;3255353260;1.731612379;0.987645932;5774.765
50000;PELLCAPPDELTA10;241054.85;3825448703;1.768634214;1.025092078;6059.24
60000;PELLCAPPDELTA10;243164.28;4223441135;1.734704393;0.992143395;6292.64
70000;PELLCAPPDELTA10;255596.38;4665380357;1.751780304;0.985196004;6528.075
80000;PELLCAPPDELTA10;270885.935;4941359877;1.736079466;0.995270271;6681.94
90000;PELLCAPPDELTA10;266061.255;5092290791;1.732923124;0.984282131;6812.125
100000;PELLCAPPDELTA10;284287.485;5376136193;1.790133486;1.005235618;6957.25
200000;PELLCAPPDELTA10;282749.485;6748963956;1.838999029;1;7776.705
500000;PELLCAPPDELTA10;354063.09;9236396583;1.841197531;1;8854.995
500;PELLCAPPDELTA15;37546.445;25715868.29;1.61261838;0.91658569;787.275
1000;PELLCAPPDELTA15;50992.48;55734240.69;1.655488421;0.966042949;992.165
5000;PELLCAPPDELTA15;70020.5;216433233.7;1.807112493;1.052808021;1557.235
10000;PELLCAPPDELTA15;103395.725;335993640;1.744256808;1.010968394;1847.025
20000;PELLCAPPDELTA15;112376.645;504631135.8;1.842312981;1.055724098;2179.145
30000;PELLCAPPDELTA15;126050.2;583198078.8;1.724715236;0.984126438;2334.115
40000;PELLCAPPDELTA15;105738.48;606275963.2;1.798246633;1.025555802;2442.135
50000;PELLCAPPDELTA15;105246.545;689627756.7;1.740207524;1.009264572;2518.415
60000;PELLCAPPDELTA15;104715.695;737990921.5;1.792274091;1.025427775;2585.365
70000;PELLCAPPDELTA15;108278.385;779388212.4;1.796766663;1.01064292;2625.075
80000;PELLCAPPDELTA15;114320.925;836254590;1.793620679;1.028296701;2711.885
90000;PELLCAPPDELTA15;120461.27;870466942;1.79445488;1.019423983;2769.26
100000;PELLCAPPDELTA15;125160.735;897583459.9;1.802346242;1.01218099;2813.4
200000;PELLCAPPDELTA15;133228.745;1087151169;1.771720916;0.964212748;3099.645
500000;PELLCAPPDELTA15;167922.42;1318241743;1.801587594;0.978989218;3361.325
500;PELLCAPPDELTA20;33695.84;18141488.41;1.613963682;0.917613603;686.29
1000;PELLCAPPDELTA20;47091.105;33214066.83;1.690216788;0.986493653;818.335
5000;PELLCAPPDELTA20;57859.255;104080046.4;1.830799623;1.067313343;1162.625
10000;PELLCAPPDELTA20;86934.31;136988044.9;1.753148969;1.015994167;1267.845
20000;PELLCAPPDELTA20;85019.32;185893416.7;1.738725263;0.996794709;1432.17
30000;PELLCAPPDELTA20;101855.45;220827082.8;1.729498356;0.986501174;1534.275
40000;PELLCAPPDELTA20;92912.26;220343548.8;1.735248663;0.989831773;1594.88
50000;PELLCAPPDELTA20;82911.36;250295241.9;1.789249652;1.037969901;1615.955
60000;PELLCAPPDELTA20;80548.985;264314738.9;1.804736222;1.032482975;1656.055
70000;PELLCAPPDELTA20;81587.615;286576655.3;1.838280204;1.034098203;1698.515
80000;PELLCAPPDELTA20;84243.895;283976352.5;1.765151931;1.012067924;1694.075
90000;PELLCAPPDELTA20;85971.405;288548566.5;1.764889258;1.002488002;1714.905
100000;PELLCAPPDELTA20;91324.04;301549143.5;1.810348168;1.016413253;1746.695
200000;PELLCAPPDELTA20;97615.73;322769718.1;1.766836198;0.961341272;1825.14
500000;PELLCAPPDELTA20;121203.595;365220388.3;1.796335617;0.97628886;1920.885
500;PELLCAPPDELTA25;51704.74;14117737.07;1.629259993;0.922742213;635.89
1000;PELLCAPPDELTA25;48569.175;22189563.61;1.685895235;0.978950213;721.115
5000;PELLCAPPDELTA25;66328.925;54077337.12;1.866449199;1.084454978;948.42
10000;PELLCAPPDELTA25;61266.06;68784068.34;1.832965833;1.059933245;1003.005
20000;PELLCAPPDELTA25;58088.47;92739216.77;1.921530774;1.099664465;1117.475
30000;PELLCAPPDELTA25;72164.475;108569971.6;1.749662338;0.996858119;1162.69
40000;PELLCAPPDELTA25;72882.205;115654127;1.87716525;1.070010129;1199
50000;PELLCAPPDELTA25;72210.535;122058470.5;1.947191993;1.127388934;1208.165
60000;PELLCAPPDELTA25;75555.505;125950970.1;1.772030189;1.012819744;1242.56
70000;PELLCAPPDELTA25;84727.72;140017064.5;1.863070953;1.047505666;1276.84
80000;PELLCAPPDELTA25;70518.07;133675124.6;1.794777233;1.028439558;1274.81
90000;PELLCAPPDELTA25;76786.25;139746162.3;1.799039018;1.021583343;1291.96
100000;PELLCAPPDELTA25;81996.475;141854837;1.821422169;1.022441086;1300.53
200000;PELLCAPPDELTA25;87254.95;162753050.9;1.801972012;0.979865668;1354.045
500000;PELLCAPPDELTA25;102803.98;174353124.1;1.82948972;0.993641198;1387.53
500;PELLCAPPDELTA30;31872.995;13155469.34;1.652080309;0.93566665;563.15
1000;PELLCAPPDELTA30;29800.835;21685996.43;1.654182939;0.960535807;659.595
5000;PELLCAPPDELTA30;36136.48;42866430.59;1.746429838;1.014720643;819.14
10000;PELLCAPPDELTA30;36867.135;54216626.29;1.72930384;0.999989524;871.42
20000;PELLCAPPDELTA30;48293.435;63907347.49;1.765691891;1.01048011;936.505
30000;PELLCAPPDELTA30;56020.665;65397445.47;1.854783085;1.056749944;929.805
40000;PELLCAPPDELTA30;55589.595;67791931.05;1.753893882;0.999743745;953.285
50000;PELLCAPPDELTA30;55783.885;70902682.2;1.80107796;1.042791552;956.69
60000;PELLCAPPDELTA30;55101.22;72177666.67;1.882874086;1.076173568;985.455
70000;PELLCAPPDELTA30;63289.375;75297640.97;1.819393262;1.022948024;984.475
80000;PELLCAPPDELTA30;58386.91;74925230.69;1.767273027;1.012679154;992.065
90000;PELLCAPPDELTA30;62133.3;77006722.56;1.823612305;1.03553727;1004.65
100000;PELLCAPPDELTA30;62064.92;76219120.42;1.758287531;0.987000951;1001.775
200000;PELLCAPPDELTA30;75188.775;89233385.48;1.782872877;0.969480054;1049.38
500000;PELLCAPPDELTA30;89374.065;99848963.12;1.837944292;0.998233086;1089.885
500;PELLCAPPDELTA35;30386.595;2761546.9;1.678881951;0.950845938;379.785
1000;PELLCAPPDELTA35;27678.995;3428674.21;1.691744401;0.982346652;404.12
5000;PELLCAPPDELTA35;33702.495;3905975.5;1.723044553;1.001133192;416.125
10000;PELLCAPPDELTA35;31657.515;4941788.41;1.799389902;1.040517583;420.19
20000;PELLCAPPDELTA35;41512.165;5210262.81;1.880199887;1.076011392;439.805
30000;PELLCAPPDELTA35;46939.375;5720029.615;1.842969212;1.050019071;444.645
40000;PELLCAPPDELTA35;49120.97;6566482.99;1.734591132;0.988740911;466.15
50000;PELLCAPPDELTA35;46652.755;6850498.225;1.730486822;1.001920561;468.14
60000;PELLCAPPDELTA35;49211.65;6372882.425;1.809943359;1.034489356;467.175
70000;PELLCAPPDELTA35;52804.92;6872023.55;1.863172472;1.047562745;465.255
80000;PELLCAPPDELTA35;50053.565;7660744.45;1.81841368;1.041983666;473.21
90000;PELLCAPPDELTA35;49871.65;6628742.57;1.826014275;1.036901228;468.735
100000;PELLCAPPDELTA35;53130.81;7224651.39;1.865422389;1.047140266;473.995
200000;PELLCAPPDELTA35;62437.33;6914577;1.830982367;0.995640747;468.35
500000;PELLCAPPDELTA35;72334.51;7304962.4;1.88593026;1.024295454;473.54
500;PELLCAPPDELTA40;26956.015;2033824.28;1.724118665;0.976466052;357.24
1000;PELLCAPPDELTA40;25709.175;2146727.14;1.627231384;0.944885824;361.26
5000;PELLCAPPDELTA40;30590.335;2214765.71;1.774756173;1.031178972;365.54
10000;PELLCAPPDELTA40;27864.62;2095579.995;1.796414978;1.0387973;353.975
20000;PELLCAPPDELTA40;31985.835;2099117.795;1.905729337;1.090621529;369.75
30000;PELLCAPPDELTA40;43257.11;2281453.725;1.809887035;1.031170727;360.74
40000;PELLCAPPDELTA40;47312.86;2057604.87;1.761370866;1.00400573;361.395
50000;PELLCAPPDELTA40;44818.77;2206210.395;1.81255179;1.049434693;357.04
60000;PELLCAPPDELTA40;48795.095;2176379.265;1.819934934;1.040200131;367.57
70000;PELLCAPPDELTA40;50459.625;2190807.485;1.866836099;1.049622607;357.43
80000;PELLCAPPDELTA40;47664.285;2371231.935;1.859165512;1.065335197;363.6
90000;PELLCAPPDELTA40;47640.18;2164341.255;1.864327541;1.058657395;364.185
100000;PELLCAPPDELTA40;47680.235;2226199.7;1.933155554;1.085161748;365.865
200000;PELLCAPPDELTA40;59444.305;2453461.32;1.873563426;1.018795223;362.955
500000;PELLCAPPDELTA40;68584.625;2955955.79;1.906931193;1.03570158;377.345
500;CAPPDELTA05;130410.665;41802202.31;1.687311164;0.955619879;1695.83
1000;CAPPDELTA05;130990.065;164035621.3;1.631726512;0.947496014;2558.2
5000;CAPPDELTA05;317004.915;3600512117;1.691901777;0.983038438;7276.405
10000;CAPPDELTA05;384663.575;10756252046;1.70184716;0.984112388;11370.565
20000;CAPPDELTA05;520698.28;28914321114;1.746450698;0.999468652;16915.81
30000;CAPPDELTA05;838810.4;45381775208;1.769696705;1.008272562;20560.585
40000;CAPPDELTA05;1147363.58;62312088422;1.75434344;1;23278.06
50000;CAPPDELTA05;1046121.42;84462734686;1.727169687;1;25442.58
60000;CAPPDELTA05;1105861.225;1.15694E+11;1.749600755;1;27260.15
70000;CAPPDELTA05;1257762.14;1.0124E+11;1.778578401;1;28753.145
80000;CAPPDELTA05;1236334.585;1.43827E+11;1.745146051;1;30131.445
90000;CAPPDELTA05;1272460.375;1.9095E+11;1.761030102;1;31333.72
100000;CAPPDELTA05;1408131.275;1.43303E+11;1.781444616;1;32464.875